departamento_id,departamento_nombre,sitio_id,sitio_nombre,latitud,longitud,es_aproximado
peten,Petén,peten-0,Parque Nacional Tikal,17.2220,-89.6237,NO
peten,Petén,peten-1,Isla de Flores,16.9295,-89.8932,NO
peten,Petén,peten-2,Parque Nacional Yaxhá-Nakum-Naranjo,17.0673,-89.3980,NO
peten,Petén,peten-3,Parque Nacional El Mirador,17.7558,-89.9217,NO
peten,Petén,peten-4,Cráter Azul,16.4856,-90.1834,NO
peten,Petén,peten-5,Uaxactún,17.3945,-89.6335,NO
peten,Petén,peten-6,Estación Biológica Las Guacamayas,17.2185,-90.4150,NO
peten,Petén,peten-7,Parque Nacional Ceibal,16.5117,-90.0575,NO
peten,Petén,peten-8,Aguateca,16.3889,-90.2039,NO
peten,Petén,peten-9,Parque Natural Ixpanpajul,16.8770,-89.8145,NO
peten,Petén,peten-10,Tayasal,16.9372,-89.8890,NO
peten,Petén,peten-11,Biotopo El Zotz,17.2204,-89.8647,NO
peten,Petén,peten-12,Cuevas de Actún Can,16.9087,-89.8837,NO
peten,Petén,peten-13,San Bartolo,17.5342,-89.4183,NO
peten,Petén,peten-14,Finca Ixobel,16.3217,-89.4180,NO
peten,Petén,peten-15,Parque Nacional Laguna del Tigre,17.4833,-90.6833,SI
peten,Petén,peten-16,Nakum,17.1725,-89.3564,NO
peten,Petén,peten-17,Río Azul,17.7247,-89.3086,NO
peten,Petén,peten-18,El Remate,16.9995,-89.7042,NO
peten,Petén,peten-19,Biotopo Cerro Cahuí,17.0090,-89.7128,NO
peten,Petén,peten-20,Sitio Arqueológico Ixlú,16.9806,-89.6917,NO
peten,Petén,peten-21,Sitio Arqueológico Topoxté,17.0436,-89.4219,NO
peten,Petén,peten-22,Cuevas de Naj Tunich,16.2616,-89.2643,NO
peten,Petén,peten-23,Sitio Arqueológico Dos Pilas,16.4519,-90.2692,NO
peten,Petén,peten-24,Sitio Arqueológico Cancuén,15.9972,-89.9239,NO
peten,Petén,peten-25,Sitio Arqueológico Tamarindito,16.4253,-90.2631,NO
peten,Petén,peten-26,Laguna de Petexbatún,16.4239,-90.1889,NO
peten,Petén,peten-27,Sitio Arqueológico Piedras Negras,17.1667,-91.2600,NO
peten,Petén,peten-28,Parque Nacional Sierra del Lacandón,17.2442,-91.2021,SI
peten,Petén,peten-29,Sitio Arqueológico La Corona,17.5186,-90.3542,NO
peten,Petén,peten-30,Sitio Arqueológico El Perú (Waka'),17.2917,-90.3500,NO
peten,Petén,peten-31,Refugio de Vida Silvestre El Pucté,16.4670,-90.1800,SI
altaverapaz,Alta Verapaz,altaverapaz-0,Semuc Champey,15.5342,-89.9614,NO
altaverapaz,Alta Verapaz,altaverapaz-1,Cuevas de Lanquín,15.5721,-89.9772,NO
altaverapaz,Alta Verapaz,altaverapaz-2,Cuevas de Candelaria,15.8672,-90.2886,NO
altaverapaz,Alta Verapaz,altaverapaz-3,Parque Nacional Laguna Lachuá,15.9189,-90.6728,NO
altaverapaz,Alta Verapaz,altaverapaz-4,Orquideario Archila,15.4678,-90.3800,NO
altaverapaz,Alta Verapaz,altaverapaz-5,Cuevas de Rey Marcos,15.4206,-90.3150,NO
altaverapaz,Alta Verapaz,altaverapaz-6,Pozo Vivo,15.3942,-90.4703,NO
altaverapaz,Alta Verapaz,altaverapaz-7,Balneario Las Azufradas,15.4331,-90.3667,NO
altaverapaz,Alta Verapaz,altaverapaz-8,Finca Rax Tap,15.4719,-90.3750,SI
altaverapaz,Alta Verapaz,altaverapaz-9,Laguna de Chichoj,15.3922,-90.4858,NO
altaverapaz,Alta Verapaz,altaverapaz-10,Parque Ecológico Hun Nal Ye,15.6583,-90.3347,NO
altaverapaz,Alta Verapaz,altaverapaz-11,Cueva de Chitul,15.4633,-90.3400,SI
altaverapaz,Alta Verapaz,altaverapaz-12,Sitio Arqueológico Chi Ixim,15.3789,-90.3011,NO
altaverapaz,Alta Verapaz,altaverapaz-13,Eco Centro Holanda,15.4522,-90.3850,NO
altaverapaz,Alta Verapaz,altaverapaz-14,Las Conchas,15.8239,-89.4447,NO
altaverapaz,Alta Verapaz,altaverapaz-15,Cuevas Bombil Pek,15.8694,-90.3811,NO
altaverapaz,Alta Verapaz,altaverapaz-16,Museo Katinamit,15.4708,-90.3708,NO
altaverapaz,Alta Verapaz,altaverapaz-17,Río Sachichá,15.5317,-90.3200,SI
altaverapaz,Alta Verapaz,altaverapaz-18,Cueva de los Andinistas,15.4500,-90.3500,SI
altaverapaz,Alta Verapaz,altaverapaz-19,Cooperativa Chicoj (Tour del Café),15.4361,-90.4583,NO
altaverapaz,Alta Verapaz,altaverapaz-20,Parque Ecológico Chirrepec,15.4389,-90.3333,NO
altaverapaz,Alta Verapaz,altaverapaz-21,Balneario El Manantial,15.3850,-90.3200,SI
